objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_022,performing_022.jpg,,,Kundiman ng Puso,Tony Cayado,1958," A musical-romance movie classic tracking dramatic domestic encounters, created under Sampaguita Pictures.",Film,Philippines,12.8797,121.774,objects/kundiman ng puso.jpg,RMQ-022,Image;StillImage,image/jpeg,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_023,performing_023.jpg,,,Colegiala,Eduardo de Castro,1940,"A rare pre-war studio drama exploring the social pressures faced by a young woman from a traditional rural family who moves to Manila to attend an elite convent girls' college (colegiala). She finds herself caught between her family's strict provincial expectations and the fast-paced, modern lifestyles of her wealthy urban classmates. The central conflict arises when she falls in love with an artistic young man from a lower social standing, causing her family to threaten to pull her out of school. Through perseverance and the support of her progressive teachers, she bridges the cultural divide, proving that modern education can coexist with traditional values.",Film,"Manila, Philippines",14.5995,120.9842,objects/colegiala.jpg,RMQ-023,Image;StillImage,image/jpeg,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_024,performing_024.jpg,,,Paglipas ng Dilim,Rolando Tinio,1969,"A modern theater revival of the classic 1920 sarswela focusing on Ricardo, an idealistic young medical student who falls deeply in love with Estrella, a modest, pure-hearted seamstress. Their romance is threatened by Caridad, an aggressive, wealthy socialite who uses financial bribery and malicious lies to convince Ricardo's family that Estrella is unfaithful. Misunderstandings multiply during an elegant town fiesta, driving the young lovers apart. The truth is exposed during a climactic medical emergency where Estrella's selflessness saves a life, breaking through Caridad's deception and allowing Ricardo to publicly reunite with her as the metaphorical darkness over their lives finally passes.",Theater,Ateneo de Manila University,14.6395,121.078,objects/paglipas ng dilim.jpg,RMQ-024,Image;StillImage,image/jpeg,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_025,performing_025.jpg,,,Ang Kiri,Servando de los Angeles,1926,"A classic sarswela play following or focusing on any flirty, high-society woman named Kiri, who takes pleasure in playing with the hearts of wealthy suitors while evading any real marital commitment. Her care-free lifestyle catches up with her when she falls genuinely in love with an honorable man who rejects her advances, disgusted by her shallow lifestyle and manipulative reputation. This rejection sparks a profound emotional crisis, forcing Kiri to abandon her malicious games and undergo a quiet journey of self-reflection. She eventually wins his respect and love through genuine humility and acts of community service, transforming her public image. ",Theater,Philippines,12.8797,121.774,objects/ang kiri.jpg,RMQ-025,Image;StillImage,image/jpeg,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_026,performing_026.mp4,McT_ePmod4c,,Virginia,Nemesio E. Caravana,1949,"Virginia (1949) is a melodrama with predictable themes and stereotyped characters seen in most movies from the big studios that were now slowly becoming film factories. People from Manila are rich and haughty while the people from the province are poor, simple, but live dignified lives. The story is set during the latter part of the Pacific war, when the Americans began their offensive to take back the country from the Japanese. The rich family of Doña Tentay (Naty Bernardo) and her son Reynaldo (Armando Goyena), together with his cousin Mameng (Rosa Rosal) evacuate Manila and move to the province to escape the incessant bombing. There they encounter the pretty provincial lass, Virginia (Tessie Quintana), a corn vendor and Reynaldo and Virginia fall in love. Virginia and her father (Florentino Ballecer) are also secretly hiding an American officer from the Japanese, a Mr. Powell. Mameng is also in love with Reynaldo and tries her best to belittle and humiliate Virginia. At the war’s end, they return to Manila and Reynaldo is forced by an unexpected turn of events to marry Mameng. But Mameng is a spoiled society girl who not only dissipates Reynaldo’s fortune but is also unfaithful. Reynaldo loses his money and is forced to work as a taxi driver. One day he meets an accident and loses his sight. In the meantime, Mr. Powell, the American officer returns to the province and leaves all his property to Virginia. The roles are now reversed. Virginia is rich while Reynaldo and Mameng are dirt poor. Virginia learns about Reynaldo’s miserable situation and secretly has him cured. He regains his sight and confronts Mameng and her lover (Jaime Castelvi). A fight ensues and Mameng’s lover is accidentally killed. Reynaldo takes the blame but at the trial, a thoroughly repentant Mameng confesses to her role in this tragedy and takes poison. Reynaldo returns to the province and is reunited with Virginia.",Film,Philippines,12.8797,121.774,https://www.youtube.com/watch?v=McT_ePmod4c,RMQ-026,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_027,performing_027.mp4,yoUZgyEimL8,,Sumpaan,Susana C. de Guzman,1948,"Three brothers make a vow on their father’s deathbed to be devoted to one another. As they each grow up in their own ways, they struggle to retain their bond as adults.",Film,"Cordillera Region, Philippines",17.025,121.15,https://www.youtube.com/watch?v=yoUZgyEimL8,RMQ-027,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_028,performing_028.jpg,,,Orasang Ginto,Manuel Conde,1946,"Historically significant as the first feature film produced in the Philippines immediately following the destruction of World War II. The plot details the harrowing struggles of a war-weary soldier who returns to the ruined streets of Manila to search for his displaced family. His only keepsake is a gold watch (orasang ginto) given to him by a dying comrade on the battlefield. As he navigates the city's black markets and lawless post-war slums, the watch is stolen by a desperate gang of orphans. His quest to retrieve the watch leads him to the children's hiding place, where he unexpectedly discovers his own younger sister leading them, shifting his mission from individual survival to collective healing.",Film,"Manila, Philippines",14.5995,120.9842,objects/orasang ginto.jpg,RMQ-028,Image;StillImage,image/jpeg,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_029,performing_029.jpg,,,La Vida de Jose Rizal,Edward M. Gross,1912,"Based on Edward Gross’ 1905 stage play. It begins with a view of the Philippines prior to Rizal’s birth and traces his career in Europe, his exile in Dapitan, his imprisonment in Fort Santiago and his martyrdom at Bagumbayan.",Film,"Manila, Philippines",14.5995,120.9842,objects/La vida de jose rizal.jpg,RMQ-029,Image;StillImage,image/jpeg,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_030,performing_30.jpg,,,El Fusilamiento de Jose Rizal,Albert Yearsley,1912,"A film depicting the shooting of Dr. Jose Rizal, consisting of a single scene worth 500 feet of film.",Film,"Manila, Philippines",14.5995,120.9842,objects/Fusilamiento_de_rizal.jpg,RMQ-030,Image;StillImage,image/jpeg,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_031,performing_031.mp4,sO27KELMvjU,,Tunay na Ina,Octavio Silos,1939,"Magdalena (Rosario Moreno) becomes pregnant because she was raped by Antonio (Exequiel Segovia). Before his death, her father (Precioso Palma) gives up the baby for adoption, thinking that no man can ever understand her past. Magdalena is engaged to Roberto (Rudy Concepcion), a decent, well-off young man. Haunted by her conscience, Magdalena writes Roberto a letter, admitting her past. Her aunt, afraid that the wedding may be called off, intercepts the letter and hides it. Assuming that Roberto has accepted her in spite of her past, she marries him. Magdalena later becomes increasingly aware that Roberto does not know the truth about her. She tries to locate her lost child. Eventually, she sees a child that she thinks is her missing daughter. The child, Tita (Tita Duran), recognizes Aling Andang (Naty Bernardo) as her mother. The story of how Tita came to Andang matches the story of how Magdalena's baby was given away. Magdalena is now sure that Tita is her child. Meanwhile, Antonio comes back and blackmails Magdalena. When Magdalena later refuses to give him more money, Antonio tells Roberto the truth. Roberto throws Magdalena out of the house. She goes to Andang and Tita to spend time with her daughter, not knowing that Junior, her son by Roberto is gravely ill. Junior dies. Magdalena is only redeemed in Roberto's eyes when the aunt produces Magdalena's letter. After Andang almost comes to death on Christmas Eve, Magdalena and Roberto decide to adopt both Tita and Aling Andang into their home.",Film,"Manila, Philippines",14.5995,120.9842,https://www.youtube.com/watch?v=sO27KELMvjU,RMQ-031,MovingImage,video/mp4,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_032,performing_032.mp4,MFe2hiiIqk,,Tulisan,Jose De Villa,1962,"This film is about the warring women bandits. Roberta leads a group that will rescue her kidnapped twin-sister, Senyang, from Fernanda’s group.",Film,Philippines,12.8797,121.774,https://www.youtube.com/watch?v=_MFe2hiiIqk,RMQ-032,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_033,performing_033.mp4,ezgvxSWdKwg,,Kerubin,Octavio Silos,1952,"St. Peter is exasperated with the antics of Kerubin, a mischievous little angel. So he sends Kerubin to Earth with the proviso that she cannot return to heaven until she makes one sad soul happy. Kerubin settles on Anastacis, a young housewife who wants to have a child but cannot and whose husband is beginning to have a wandering eye.",Film,"Manila, Philippines",14.5995,120.9842,https://www.youtube.com/watch?v=ezgvxSWdKwg,RMQ-033,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_034,performing_034.mp4,cQkUWJF9vWw,,Anak ng Espada,Tony Cayado,1954,"A 1954 Philippine action-fantasy film. Directed by Tony Cayado and written by Fernando B. Monleon, this swashbuckling epic features a young cast of notable stars, including Tessie Agana, Norma Vales, and Rita Gomez. Amidst mystical swordplay and classic Filipino folklore.",Film,"Quezon City, Philippines",14.676,121.0437,https://www.youtube.com/watch?v=cQkUWJF9vWw,RMQ-034,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_035,performing_035.mp4,IdFTp2zay2w,,Octavia ,Rose Mia,1961,A generation feud between three stars.,Film,"Quezon City, Philippines",14.676,121.0437,https://www.youtube.com/watch?v=IdFTp2zay2w,RMQ-035,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_036,performing_036.mp4,Yzlx9S1uG7Q,,Anino ni Bathala,Conrado Conde,1958,Earthly love or the love of god? which must one choose in order to live in his shadow?,Film,"Quezon City, Philippines",14.676,121.0437,https://www.youtube.com/watch?v=Yzlx9S1uG7Q,RMQ-036,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_037,performing_037.jpg,,,La India Elegante y El Negrito Amante,Francisco Balagtas,1860,"A popular 19th-century musical farce (saynete) that serves as a satirical commentary on racial, cultural, and social status. The story revolves around Kapitan Toming, a short, dark Aeta chieftain (""el negrito amante"") who falls deeply in love with A popular 19th-century musical farce (saynete) that serves as a satirical commentary on racial, cultural, and social status. The story revolves around Kapitan Toming, a short, dark Aeta chieftain (""el negrito amante"") who falls deeply in love with Menangge, a disdainful, sophisticated Tagalog woman (""la india elegante""). Desperate to win her affections, Toming continuously attempts to mask his indigenous identity by dressing in various elaborate European outfits, including an American frak and formal coat (lebita), under the mistaken belief that high-status foreign clothes will change his social standing. Menangge repeatedly rejects his advances based on his race. The comedic friction develops through Toming's dialogues with his companion Uban, eventually leading to a dramatic realization of self-worth and a profound message regarding local identity, discrimination, and the vanity of colonial assimilation.",Theater,"Teatro de Tondo in the district of Tondo, Manila",14.617,120.967,objects/La india.jpg,RMQ-037,Image;StillImage,image/jpeg,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_038,performing_038.jpg,,,Minda Mora,Severino Reyes ,1908,"A monumental three-act Tagalog sarswela that explores the intersection of romance, religious identity, and social duty. The story focuses on the star-crossed relationship between Felix, a Christian man, and Minda, a Muslim Moro woman from Mindanao. After a deep romance develops between them, Minda becomes pregnant. Felix faces immense domestic and societal pressure due to the deep-seated cultural divides between Christian and Muslim communities at the turn of the century. The drama peaks as Felix faces a severe moral crossroad over his path in life. The storyline resolves through a powerful social message reflecting Filipino values, emphasizing a man's moral responsibility to honor and marry the woman he impregnated regardless of cultural biases, ending with a plea for domestic fidelity, integrity, and honor. ",Theater,"Teatro Zorrilla, Manila, Philippines",14.6033,120.9839,objects/minda mora.jpg,RMQ-038,Image;StillImage,image/jpeg,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_039,performing_039.jpg,,,Sa Pusod ng Dagat,Marilou Diaz-Abaya,1998,"On an island in the 1950s, young Pepito assists his mother as she goes around practicing her trade as the only local midwife left in the village.  He gets involved in the lives and passions of other inhabitants whose beliefs, struggles and aspirations lead him to an understanding of himself and the role he must play in the life of his fellow villagers.  In a story inflected with flashes of magic realism, the remote island becomes a mirror of the wider world.",Film,"Anilao, Mabini, Batangas",13.756,120.912,objects/Sa Pusod Ng Dagat_DVD cover.JPG,RMQ-039,Image;StillImage,image/jpeg,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_040,performing_040.jpg,,,Orosman at Zafira,Francisco Balagtas,1977,"A monumental four-part poetic komedya (moro-moro) that breaks traditional genre molds by focusing entirely on internal conflicts and the senselessness of tribal warfare. The storyline ignites when Boulasem, the power-hungry chieftain of the Tedenst tribe, disrupts a diplomatic feast to brutally assassinate Sultan Mahamud of Marruecos, plunging three independent kingdoms into war. Caught in the crossfire are the star-crossed lovers Orosman (Boulasem's honorable son) and Zafira (Mahamud’s fierce, vengeance-seeking daughter). The narrative follows the complex psychological trials of the lovers as Orosman struggles between his devotion to Zafira and his familial loyalty, while his power-crazed brother Abdalap commits patricide to usurp the throne. Ultimately, the tragedy maps the cyclic destruction of political greed and bloody betrayals, resolving only when peace is painstakingly restored and the lovers navigate past structural loss to unite their kingdoms.",Theater,Cultural Center of the Philippines (CCP) ,14.557,120.9845,objects/orosman at zafira.jpg,RMQ-040,Image;StillImage,image/jpeg,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_041,performing_041.jpg,,,Kisapmata,Mike de Leon,1981,"Kisapmata (In the Wink of an Eye) is a 1981 Filipino psychological horror film directed by Mike de Leon, with a screenplay by de Leon, Clodualdo del Mundo Jr., and Raquel Villavicencio, based on National Artist for Literature Nick Joaquin's essay The House on Zapote St. (as Quijano de Manila). It stars Vic Silayan, Charo Santos, Jay Ilagan, and Charito Solis. It tells the story of a controlling patriarch who loses it over his daughter's marriage and her attempts to escape from their incestuous household.",Film,"Quezon City, Metro Manila.",14.6272,121.0028,objects/kisapmata.png,RMQ-041,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_042,performing_042.jpg,,,Tinimbang Ka Ngunit Kulang,Lino Brocka,1974,A privileged teenager (Christopher De Leon) disillusioned with the hypocrisy he witnesses in his small town forms a bond with a lonely leper and a mentally unstable homeless woman.,Film,"Santa Rita, Pampanga",14.999,120.615,objects/tinimbang ka ngunit kulang.jpg,RMQ-042,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_043,performing_043.mp4,Q3WmMu7TyFg,,Bayan Ko: Kapit sa Patalim,Lino Brocka,1985,"In Manila, a printing press employee without social security is forced to participate in a frame-up to pay for his wife's hospitalisation costs following childbirth.",Film,"Manila, Philippines",14.5995,120.9842,https://www.youtube.com/watch?v=Q3WmMu7TyFg,RMQ-043,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
